Code,Name,Grognard,Duration,PlayLate,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,,,,,,,,,,,
OTY,Operation Typhoon: Barbarossa Denied,,,,Operation Typhoon: ...,Operation Typhoon,,,,,,,,,,,,,,,
P1S,Power Grid: The First Sparks,,,,Power Grid: First Sparks,,,,,,,,,,,,,,,,
PDT,Paydirt,,,,Paydirt AFC,Paydirt NFC,,,,,,,,,,,,,,,
PGD,Power Grid,,,,,,,,,,,,,,,,,,,,
PGF,Pro Golf,,,all,,,,,,,,,,,,,,,,,
PGG,Panzergruppe Guderian,,,,P'gruppe Guderian,,,,,,,,,,,,,,,,
PNT,Piñata,,,,Pinata,,,,,,,,,,,,,,,,
POF,Princes of Florence,,,,,,,,,,,,,,,,,,,,
POG,Paths of Glory,,,once,,,,,,,,,,,,,,,,,
PRC,Pirate's Cove,,,,,,,,,,,,,,,,,,,,
PRO,Puerto Rico,,,,,,,,,,,,,,,,,,,,
PUG,Pursuit of Glory,,,,,,,,,,,,,,,,,,,,
PZB,Panzerblitz,59,,,,,,,,,,,,,,,,,,,
QGB,Star Wars: Queen's Gambit,,,,Queen's Gambit,Star Wars Queen's Gambit,Star Wars: Queens Gambit,Star Wars; Queens Gambit,,,,,,,,,,,,,
RA!,Ra,,,,Ra!,,,,,,,,,,,,,,,,
RBN,Rail Baron,,,,,,,,,,,,,,,,,,,,
RBR,Rebel Raiders,,,once,,,,,,,,,,,,,,,,,
RBS,Russian Beseiged,,,,Russia Besieged,,,,,,,,,,,,,,,,
RDG,Ra: The Dice Game,,,,Ra; The Dice Game,Ra: the Dice Game,,,,,,,,,,,,,,,
RFG,Race For the Galaxy,,,,,,,,,,,,,,,,,,,,
ROR,Republic of Rome,,,,,,,,,,,,,,,,,,,,
ROS,War of the Roses,,,,,,,,,,,,,,,,,,,,
RRY,Robo Rally,,,,,,,,,,,,,,,,,,,,
RSK,Risk,,,,,,,,,,,,,,,,,,,,
RT3,Richard the III,,,,Richard III,,,,,,,,,,,,,,,,
RYP,Royal Palace,,,,,,,,,,,,,,,,,,,,
RWR,Red Winter,,,,,,,,,,,,,,,,,,,,
SBH,Star Borders: Humanity,,,,Star Borders ...,,,,,,,,,,,,,,,,
SCC,Stock Car Championship Racing,,,,Stock Car Racing,Stockcar Racing,Stockcar Ch. Racing,StockCar Ch Racing,,,,,,,,,,,,,
SCT,Speed Circuit,,,,,,,,,,,,,,,,,,,,
