"Code","Name","Grognard","Duration","PlayLate"
"M44","Memoir '44",,,,"Memoir: Bastogne","Memoir: Factory Fight","Memoir: Firefight in Nef","Memoir: Iwo Jima","Memoir: Prokhorovka","Memoir: Roi-Namur Landings","Memoir: Rzhev","Memoir: Stalingrad Perdition","Memoir: Sword Beach","Memoir: Sword of Stalingrad","Memoir: The Hell of Munda","Memoir: Tigers in the Snow","Memoir: Wamach & Bigonville","Memoir: D-Day Landings","Memoir: D-Day Mega Overlord","Memoir: Peleliu Landings","Memoir: Push to the Roer"
"MAN","Manoeuvre",,,,,,,,,,,,,,,,,,,,
"MAR","Maria",,,,,,,,,,,,,,,,,,,,
"MCK","MetaCheckers",,,,,,,,,,,,,,,,,,,,
"MED","Medici",,,"once",,,,,,,,,,,,,,,,,
"MFD","Manifest Destiny",,,,,,,,,,,,,,,,,,,,
"MGW","Mage Wars",,,,,,,,,,,,,,,,,,,,
"MMA","Monsters Menace America",,,,"Monsters Ravage ...","Monsters Menace USA","Monsters Ravage a",,,,,,,,,,,,,,
"MMS","March Madness",,,,,,,,,,,,,,,,,,,,
"MMW","Mr. Madison's War",,,"once","Mr Madison's War",,,,,,,,,,,,,,,,
"MOV","Merchant of Venus",,,,,,,,,,,,,,,,,,,,
"NAP","Napoleon",,,,,,,,,,,,,,,,,,,,
"NVG","Navegador",,,,,,,,,,,,,,,,,,,,
"NVW","Naval War",,,,,,,,,,,,,,,,,,,,
"NW5","Napoleonic Wars 5 player",,,,"Napoleonic Wars",,,,,,,,,,,,,,,,
"PDT","Paydirt",,,,"Paydirt AFC","Paydirt NFC",,,,,,,,,,,,,,,
"PGD","Power Grid",,,,,,,,,,,,,,,,,,,,
"PGF","Pro Golf",,,"all",,,,,,,,,,,,,,,,,
"POF","Princes of Florence",,,,,,,,,,,,,,,,,,,,
"POG","Paths of Glory",,,"once",,,,,,,,,,,,,,,,,
"PRC","Pirate's Cove",,,,,,,,,,,,,,,,,,,,
