Boardgame Players Assocition,,,,,,,,,,,,,,,,,,,
2018 WBC Schedule,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Schedule by Game,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Day,Day Code,Time,Event Code,Event,Type,Round/Heat,Prize Level,Class,Format,Style,Duration,Location,GM,Category,,,,
7/22/18,First Sunday,FSu,16,ADV,Adel Verpflichtet,Tournament,H1/3,4,C,HSW,Scheduled,2,Grand Ballroom,"Bender, Angela",Century,,,,
7/23/18,Monday,Mo,11,ADV,Adel Verpflichtet,Tournament,H2/3,4,C,HSW,Scheduled,2,Seasons,"Bender, Angela",Century,,,,
7/25/18,Wednesday,We,11,ADV,Adel Verpflichtet,Tournament,H3/3,4,C,HSW,Scheduled,2,Grand Ballroom,"Bender, Angela",Century,,,,
7/25/18,Wednesday,We,14,ADV,Adel Verpflichtet,Tournament,SF,4,C,HSW,Scheduled,2,Alpine,"Bender, Angela",Century,,,,
7/25/18,Wednesday,We,16,ADV,Adel Verpflichtet,Tournament,F,4,C,HSW,Scheduled,2,Director's One,"Bender, Angela",Century,,,,
7/22/18,First Sunday,FSu,9,ACV,Advanced Civilization,Tournament,D1/1,--,--,--,--,1,Annex 1,"Barhorst, Nathan",Century,,,,
7/22/18,First Sunday,FSu,11,ACV,Advanced Civilization,Tournament,H1/2,6,B,HSW,Scheduled,8,Foggy Goggle Front,"Barhorst, Nathan",Century,,,,
7/25/18,Wednesday,We,9,ACV,Advanced Civilization,Tournament,H2/2,6,B,HSW,Scheduled,8,Foggy Goggle Front,"Barhorst, Nathan",Century,,,,
7/27/18,Friday,Fr,9,ACV,Advanced Civilization,Tournament,F,6,B,HSW,Scheduled,8,Laurel,"Barhorst, Nathan",Century,,,,
7/24/18,Tuesday,Tu,20,ASK,Advanced Squad Leader Starter Kit,Tournament,D1/1,--,--,--,--,1,Annex 2,"Cocke, Perry",Vendor,,,,
7/27/18,Friday,Fr,9,ASK,Advanced Squad Leader Starter Kit,Tournament,R1/4,1,B,SE,Continuous,3,Foggy Goggle Rear,"Cocke, Perry",Vendor,,,,
7/27/18,Friday,Fr,12,ASK,Advanced Squad Leader Starter Kit,Tournament,R2/4,1,B,SE,Continuous,3,Foggy Goggle Rear,"Cocke, Perry",Vendor,,,,
7/27/18,Friday,Fr,15,ASK,Advanced Squad Leader Starter Kit,Tournament,R3/4,1,B,SE,Continuous,3,Foggy Goggle Rear,"Cocke, Perry",Vendor,,,,
7/27/18,Friday,Fr,19,ASK,Advanced Squad Leader Starter Kit,Tournament,F,1,B,SE,Continuous,3,Foggy Goggle Rear,"Cocke, Perry",Vendor,,,,
7/22/18,First Sunday,FSu,9,AFK,Afrika Korps,Tournament,D1/1,--,--,--,--,4,Annex 2,"Lockwood, Jonathan",Legacy,,,,
7/21/18,First Saturday,FSa,9,AFK,Afrika Korps,Tournament,R1/1,5,B,SwEl,Free Form,4,Festival,"Lockwood, Jonathan",Legacy,,,,
7/28/18,Saturday,Sa,9,AFK,Afrika Korps,Tournament,SF,5,B,SwEl,Free Form,4,Festival,"Lockwood, Jonathan",Legacy,,,,
7/28/18,Saturday,Sa,14,AFK,Afrika Korps,Tournament,F,5,B,SwEl,Free Form,4,Festival,"Lockwood, Jonathan",Legacy,,,,
7/21/18,First Saturday,FSa,15,AOR,Age of Renaissance,Tournament,D1/2,--,--,--,--,1,Annex 1,"Monte, Eric",Century,,,,
7/23/18,Monday,Mo,15,AOR,Age of Renaissance,Tournament,D2/2,--,--,--,--,1,Annex 6,"Monte, Eric",Century,,,,
7/21/18,First Saturday,FSa,16,AOR,Age of Renaissance,Tournament,H1/3,4,B,HMWG,Scheduled,6,Alpine,"Monte, Eric",Century,,,,
7/22/18,First Sunday,FSu,20,AOR,Age of Renaissance,Tournament,H2/2,4,B,HMWG,Scheduled,6,Alpine,"Monte, Eric",Century,,,,
7/23/18,Monday,Mo,16,AOR,Age of Renaissance,Tournament,H3/3,4,B,HMWG,Scheduled,6,Alpine,"Monte, Eric",Century,,,,
7/24/18,Tuesday,Tu,9,AOR,Age of Renaissance,Tournament,F,4,B,HMWG,Scheduled,6,Laurel,"Monte, Eric",Century,,,,
7/21/18,First Saturday,FSa,12,AGR,Agricola,Tournament,H1/3,4,A,HMWG,Scheduled,3,Wintergreen,"Murray, Rob",Century,,,,
7/21/18,First Saturday,FSa,15,AGR,Agricola,Tournament,H2/3,4,A,HMWG,Scheduled,3,Wintergreen,"Murray, Rob",Century,,,,
7/21/18,First Saturday,FSa,21,AGR,Agricola,Tournament,H3/3,4,A,HMWG,Scheduled,3,Wintergreen,"Murray, Rob",Century,,,,
7/22/18,First Sunday,FSu,12,AGR,Agricola,Tournament,SF,4,A,HMWG,Scheduled,3,Laurel,"Murray, Rob",Century,,,,
7/27/18,Friday,Fr,22,AGR,Agricola,Tournament,F,4,A,HMWG,Scheduled,3,Laurel,"Murray, Rob",Century,,,,
7/22/18,First Sunday,FSu,18,ABN,Air Baron,Tournament,D1/1,--,--,--,--,1,Annex 1,"Jamelli, Max",Century,,,,
7/22/18,First Sunday,FSu,19,ABN,Air Baron,Tournament,H1/4,3,B,HMWG,Scheduled,3,Grand Ballroom,"Jamelli, Max",Century,,,,
7/23/18,Monday,Mo,9,ABN,Air Baron,Tournament,H2/4,3,B,HMWG,Scheduled,3,Alpine,"Jamelli, Max",Century,,,,
7/24/18,Tuesday,Tu,18,ABN,Air Baron,Tournament,H3/4,3,B,HMWG,Scheduled,3,Grand Ballroom,"Jamelli, Max",Century,,,,
7/26/18,Thursday,Th,20,ABN,Air Baron,Tournament,H4/4,3,B,HMWG,Scheduled,3,Grand Ballroom,"Jamelli, Max",Century,,,,
7/27/18,Friday,Fr,12,ABN,Air Baron,Tournament,SF,3,B,HMWG,Scheduled,3,Grand Ballroom,"Jamelli, Max",Century,,,,
7/27/18,Friday,Fr,15,ABN,Air Baron,Tournament,F,3,B,HMWG,Scheduled,3,Grand Ballroom,"Jamelli, Max",Century,,,,
7/21/18,First Saturday,FSa,9,ALH,Alhambra,Tournament,D1/1,--,--,--,--,2,Annex 6,"Gutermuth, Debbie",Century,,,,
7/21/18,First Saturday,FSa,11,ALH,Alhambra,Tournament,H1/2,4,B,HMW,Scheduled,2,Seasons,"Gutermuth, Debbie",Century,,,,
7/25/18,Wednesday,We,18,ALH,Alhambra,Tournament,H2/2,4,B,HMW,Scheduled,2,Alpine,"Gutermuth, Debbie",Century,,,,
7/25/18,Wednesday,We,20,ALH,Alhambra,Tournament,SF,4,B,HMW,Scheduled,2,Alpine,"Gutermuth, Debbie",Century,,,,
7/25/18,Wednesday,We,22,ALH,Alhambra,Tournament,F,4,B,HMW,Scheduled,2,Alpine,"Gutermuth, Debbie",Century,,,,
7/22/18,First Sunday,FSu,16,AMR,Amun-Re,Tournament,D1/1,--,--,--,--,1,Annex 3,"Thatcher, Greg",Trial,,,,
7/22/18,First Sunday,FSu,18,AMR,Amun-Re,Tournament,H1/3,1,B,HMW,Scheduled,3,Grand Ballroom,"Thatcher, Greg",Trial,,,,
7/25/18,Wednesday,We,11,AMR,Amun-Re,Tournament,H2/3,1,B,HMW,Scheduled,3,Grand Ballroom,"Thatcher, Greg",Trial,,,,
7/26/18,Thursday,Th,11,AMR,Amun-Re,Tournament,H3/3,1,B,HMW,Scheduled,3,Grand Ballroom,"Thatcher, Greg",Trial,,,,
